City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Zalantun,CN,2021-09-23 01:10:45,48.0,122.7167,57.25,68,0,2.28
152,Novo Cruzeiro,BR,2021-09-23 01:10:46,-17.4681,-41.8753,63.55,84,90,7.7
153,Kruisfontein,ZA,2021-09-23 01:08:58,-34.0033,24.7314,58.37,52,100,5.73
154,Lebu,CL,2021-09-23 01:10:46,-37.6167,-73.65,48.83,82,79,4.52
155,Victoria,HK,2021-09-23 01:08:25,22.2855,114.1577,86.32,82,98,15.17
156,Saint Anthony,US,2021-09-23 01:10:47,45.0205,-93.218,62.22,68,1,0.0
157,Djambala,CG,2021-09-23 01:10:48,-2.5447,14.7533,70.59,78,100,4.16
158,Joacaba,BR,2021-09-23 01:10:48,-27.1781,-51.5047,54.43,83,79,7.96
159,Qaanaaq,GL,2021-09-23 01:10:48,77.484,-69.3632,11.5,57,7,7.83
160,Concarneau,FR,2021-09-23 01:10:49,47.875,-3.9225,56.17,77,3,7.81
161,Naliya,IN,2021-09-23 01:09:19,23.2667,68.8333,81.03,79,100,10.38
162,Coxim,BR,2021-09-23 01:10:49,-18.5067,-54.76,88.79,25,36,5.14
163,Chuy,UY,2021-09-23 01:10:50,-33.6971,-53.4616,53.73,83,100,6.58
164,Montes Claros,BR,2021-09-23 01:10:50,-16.735,-43.8617,74.01,62,8,9.51
165,Port Hardy,CA,2021-09-23 01:10:51,50.6996,-127.4199,53.82,76,100,10.92
166,Olafsvik,IS,2021-09-23 01:07:48,64.8945,-23.7142,42.13,61,6,3.56
167,Bereda,ES,2021-09-23 01:10:52,43.2686,-7.5406,56.95,100,85,6.13
168,Chardara,KZ,2021-09-23 01:10:52,41.2547,67.9692,61.14,27,0,7.38
169,Cockburn Town,TC,2021-09-23 01:06:37,21.4612,-71.1419,82.87,77,100,11.27
170,Alice Springs,AU,2021-09-23 01:10:53,-23.7,133.8833,65.75,18,38,17.27
171,Husavik,IS,2021-09-23 01:09:28,66.0449,-17.3389,36.37,83,62,7.56
172,Vila Velha,BR,2021-09-23 01:10:54,-20.3297,-40.2925,69.75,64,75,16.11
173,Talnakh,RU,2021-09-23 01:07:42,69.4865,88.3972,31.78,82,53,5.37
174,Provideniya,RU,2021-09-23 01:10:55,64.3833,-173.3,37.51,56,40,4.47
175,Bati,ET,2021-09-23 01:10:56,11.1833,40.0167,64.74,76,100,6.31
176,Havre-Saint-Pierre,CA,2021-09-23 01:10:56,50.2334,-63.5986,54.79,86,100,5.57
177,Mujiayingzi,CN,2021-09-23 01:10:57,42.1167,118.7833,58.78,68,0,4.99
178,San Patricio,US,2021-09-23 01:08:49,28.017,-97.5169,82.49,33,6,7.27
179,San Felipe,VE,2021-09-23 01:10:57,10.3399,-68.7425,74.37,92,100,3.27
180,Alghero,IT,2021-09-23 01:10:58,40.5589,8.3181,66.29,82,40,3.44
181,Vila Franca Do Campo,PT,2021-09-23 01:10:58,37.7167,-25.4333,66.61,75,58,7.58
182,Longyearbyen,SJ,2021-09-23 01:07:35,78.2186,15.6401,46.24,71,75,11.5
183,Cairns,AU,2021-09-23 01:11:00,-16.9167,145.7667,80.06,56,90,19.57
184,Ayr,GB,2021-09-23 01:11:00,55.4627,-4.6339,57.18,82,90,16.11
185,Jalu,LY,2021-09-23 01:11:01,29.0331,21.5482,81.3,28,0,8.41
186,Zharkent,KZ,2021-09-23 01:11:01,44.1628,80.0,58.51,29,97,3.89
187,Saldanha,ZA,2021-09-23 01:11:02,-33.0117,17.9442,59.74,65,0,9.1
188,Bairiki,KI,2021-09-23 01:11:02,1.3292,172.9752,87.8,58,40,11.5
189,Cavalcante,BR,2021-09-23 01:11:02,-13.7975,-47.4583,82.89,23,34,0.92
190,Mehamn,NO,2021-09-23 01:07:19,71.0357,27.8492,46.09,85,100,14.54
191,Hilo,US,2021-09-23 01:10:56,19.7297,-155.09,82.13,70,1,4.61
192,Atikokan,CA,2021-09-23 01:11:04,48.7555,-91.6216,52.95,73,1,4.79
193,Sorong,ID,2021-09-23 01:11:04,-0.8833,131.25,81.95,73,100,2.84
194,Nome,US,2021-09-23 01:08:39,64.5011,-165.4064,39.27,49,90,6.91
195,Chokurdakh,RU,2021-09-23 01:11:05,70.6333,147.9167,32.58,64,100,3.18
196,Sarkand,KZ,2021-09-23 01:11:06,45.41,79.9186,47.82,37,89,3.38
197,Huaidian,CN,2021-09-23 01:11:06,33.4333,115.0333,80.78,62,84,7.85
198,Kavieng,PG,2021-09-23 01:09:24,-2.5744,150.7967,81.59,78,100,8.93
199,Inhambane,MZ,2021-09-23 01:11:07,-23.865,35.3833,64.58,77,50,9.04
200,Tuatapere,NZ,2021-09-23 01:11:07,-46.1333,167.6833,56.82,58,86,2.1
201,Palauig,PH,2021-09-23 01:11:07,15.435,119.9045,85.3,67,100,2.89
202,Constantine,DZ,2021-09-23 01:11:08,36.365,6.6147,74.91,57,100,2.62
203,Moree,AU,2021-09-23 01:11:08,-29.4667,149.85,69.82,32,0,5.75
204,Maues,BR,2021-09-23 01:11:09,-3.3836,-57.7186,73.9,94,35,2.68
205,Havre,FR,2021-09-23 01:11:09,49.5833,0.3333,52.2,87,37,0.0
206,Yulara,AU,2021-09-23 01:07:13,-25.2406,130.9889,66.04,20,7,14.97
207,Vega De Alatorre,MX,2021-09-23 01:11:10,20.0333,-96.6333,77.11,85,28,9.62
208,Beringovskiy,RU,2021-09-23 01:11:10,63.05,179.3167,38.23,69,100,7.63
209,Jeremie,HT,2021-09-23 01:11:11,18.65,-74.1167,81.18,81,94,0.81
210,Manoel Urbano,BR,2021-09-23 01:11:11,-8.8389,-69.2597,78.75,64,92,3.0
211,Arraial Do Cabo,BR,2021-09-23 01:11:12,-22.9661,-42.0278,67.17,59,84,12.53
212,Kahului,US,2021-09-23 01:11:12,20.8947,-156.47,85.26,71,40,25.32
213,Thompson,CA,2021-09-23 01:11:12,55.7435,-97.8558,56.07,61,100,3.09
214,Freeport,US,2021-09-23 01:07:57,40.6576,-73.5832,76.46,83,75,8.99
215,Suntar,RU,2021-09-23 01:11:13,62.1444,117.6319,42.44,78,4,3.6
216,Katsuura,JP,2021-09-23 01:11:14,35.1333,140.3,84.31,72,12,16.98
217,Port Hedland,AU,2021-09-23 01:11:14,-20.3167,118.5667,80.65,8,100,11.5
218,Chissamba,AO,2021-09-23 01:11:15,-12.1667,17.3333,66.04,25,100,4.05
219,Winnemucca,US,2021-09-23 01:11:15,40.973,-117.7357,80.65,14,1,10.36
220,Thunder Bay,CA,2021-09-23 01:10:45,48.4001,-89.3168,54.99,76,0,3.83
221,Dingle,PH,2021-09-23 01:08:38,10.9995,122.6711,82.54,77,100,1.28
222,Shingu,JP,2021-09-23 01:11:17,33.7333,135.9833,77.92,44,0,0.67
223,Sidney,AU,2021-09-23 01:06:36,-33.8679,151.2073,77.61,46,0,1.01
224,Kiama,AU,2021-09-23 01:11:18,-34.6833,150.8667,74.37,51,5,1.01
225,Ferrol,ES,2021-09-23 01:11:19,43.4832,-8.2369,62.67,84,2,9.37
226,Hanzhong,CN,2021-09-23 01:11:20,33.0728,107.0303,71.28,88,100,1.83
227,Saint-Augustin,CA,2021-09-23 01:10:31,51.226,-58.6502,57.97,81,93,11.56
228,Beisfjord,NO,2021-09-23 01:11:20,68.3751,17.5988,49.24,88,66,5.46
229,Gorom-Gorom,BF,2021-09-23 01:11:21,14.4439,-0.2361,82.98,59,100,16.6
230,Goose Creek,US,2021-09-23 01:11:21,32.981,-80.0326,80.89,92,90,9.22
231,Kirillov,RU,2021-09-23 01:11:22,59.863,38.3813,42.44,93,100,6.53
232,Magdalena,PH,2021-09-23 01:11:22,14.1999,121.429,86.43,69,85,5.17
